1.000000000000000021e-03 2.924361575021420911e+00 3.223447544131196100e-06 1.103616191147209631e-13
1.016265089392995096e-03 2.929227946597692700e+00 3.329232251059356284e-06 1.097293554890532445e-13
1.032794731918951518e-03 2.934006246346934077e+00 3.438436224911947949e-06 1.090818128287578321e-13
1.049593230558227598e-03 2.938688623928514598e+00 3.551213484387253067e-06 1.084220330504357528e-13
1.066664958279538774e-03 2.943271842435775998e+00 3.667757880941955643e-06 1.077499499887436912e-13
1.084014359178331072e-03 2.947757876087243378e+00 3.788090519643487341e-06 1.070731559114279642e-13
1.101645949633656921e-03 2.952153983437093565e+00 3.912354309495184114e-06 1.063925736286734961e-13
1.119564319483878348e-03 2.956472042579453507e+00 4.040698345715168919e-06 1.056992532511411604e-13
1.137774133221491381e-03 2.960725061798868740e+00 4.173205868419749531e-06 1.049984139224114049e-13
1.156280131207375458e-03 2.964924495933348059e+00 4.310081646416969069e-06 1.042857891943887162e-13
1.175087130904807617e-03 2.969078727768506898e+00 4.451569059642437610e-06 1.035709239757602402e-13
1.194200028133532475e-03 2.973191427555353705e+00 4.597618698234560887e-06 1.028545581785853340e-13
1.213623798344240588e-03 2.977260521159909246e+00 4.748452771101064827e-06 1.021250762251431041e-13
1.233363497913775872e-03 2.981279807941792814e+00 4.904316170589211995e-06 1.013914234327064004e-13
1.253424265461399551e-03 2.985239446393520790e+00 5.065143642444589516e-06 1.006556134692333468e-13
1.273811323186478574e-03 2.989127717930223582e+00 5.231217056329706756e-06 9.990620410234663939e-14
1.294529978227915981e-03 2.992934226591230207e+00 5.402742335213938397e-06 9.915449416957343699e-14
1.315585624045703759e-03 2.996650744775997577e+00 5.579845415749742343e-06 9.840991968259147349e-14
1.336983741824946661e-03 3.000272891547757670e+00 5.762958523993629917e-06 9.764182316908422647e-14
1.358729901902709127e-03 3.003800980601797566e+00 5.951949471898544538e-06 9.688642940852184048e-14
1.380829765218092317e-03 3.007239672272842057e+00 6.146900930576341709e-06 9.612551385141463074e-14
1.403289084785873256e-03 3.010597174087454420e+00 6.348577839482460918e-06 9.535267346588778044e-14
1.426113707194128248e-03 3.013884312185468595e+00 6.556849200516991022e-06 9.458831627139291946e-14
1.449309574126216591e-03 3.017113114769734761e+00 6.771854046819833739e-06 9.382112699638852247e-14
1.472882723907501879e-03 3.020295740844240573e+00 6.993915583616431146e-06 9.303984060790005453e-14
1.496839293077255632e-03 3.023442198427737093e+00 7.223249536494839880e-06 9.226505852879859554e-14
1.521185517986104949e-03 3.026558704926596288e+00 7.460046932392112021e-06 9.149344020407822384e-14
1.545927736419476940e-03 3.029648587724806497e+00 7.704839067756219853e-06 9.071324165982550330e-14
1.571072389247450424e-03 3.032711326783357642e+00 7.957554724977895653e-06 8.993905374105869204e-14
1.596626022101426670e-03 3.035743184865524302e+00 8.218525804836490954e-06 8.915983523301390475e-14
1.622595287078087110e-03 3.038737659068589281e+00 8.488136438493848511e-06 8.837229192784246125e-14
1.648986944471065013e-03 3.041687547350055532e+00 8.766567825778996423e-06 8.758812485962193580e-14
1.675807864530767148e-03 3.044582639170767546e+00 9.054031334845662871e-06 8.681125704978838708e-14
1.703065029252844422e-03 3.047414470302030054e+00 9.350936878246200143e-06 8.603180686511677288e-14
1.730765534195725843e-03 3.050175209303162660e+00 9.657556039422893866e-06 8.525416129318243197e-14
1.758916590327732569e-03 3.052859273553003128e+00 9.974145330316120148e-06 8.446483416985063980e-14
1.787525525904235402e-03 3.055463893724883473e+00 1.030139452065348146e-05 8.367755274313282400e-14
1.816599788375326732e-03 3.057988731924623504e+00 1.063910621584294740e-05 8.290202168872374865e-14
1.846146946324547485e-03 3.060435986251583529e+00 1.098785748735132716e-05 8.212151565007842984e-14
1.876174691439121437e-03 3.062809667206026987e+00 1.134863315277504197e-05 8.133844699975958590e-14
1.906690840512251977e-03 3.065115581681316925e+00 1.172086986292147786e-05 8.056569916355973381e-14
1.937703337477988952e-03 3.067361022917902247e+00 1.210522598255018281e-05 7.979553318555524465e-14
1.969220255479171497e-03 3.069553753860694734e+00 1.250215933045640251e-05 7.901641939924077020e-14
2.001249798969036847e-03 3.071701492581937032e+00 1.291216520692738843e-05 7.823520067353557122e-14
2.033800305846981960e-03 3.073811797686015534e+00 1.333541132815526776e-05 7.746701211143272933e-14
2.066880249629082268e-03 3.075899803639376984e+00 1.377283517529606924e-05 7.670098954167960403e-14
2.100498241653915316e-03 3.077945468791460026e+00 1.422458941831054905e-05 7.593378616628345810e-14
2.134663033324245458e-03 3.079978152790243673e+00 1.469108990227091739e-05 7.516799512063765636e-14
2.169383518385184159e-03 3.081991690345357693e+00 1.517301987706128224e-05 7.440393832124049457e-14
2.204668735239409625e-03 3.083986776702368093e+00 1.567064898284364181e-05 7.364229916305402619e-14
2.240527869300018224e-03 3.085962383705776801e+00 1.618450841503699537e-05 7.288475453976517827e-14
2.276970255381679901e-03 3.087916186352281489e+00 1.671523658516554635e-05 7.212733410075711849e-14
2.314005380130654006e-03 3.089845109165523240e+00 1.726351322313723392e-05 7.137160761874722633e-14
2.351642884494348565e-03 3.091745213059714281e+00 1.782930344402469008e-05 7.062073624423810128e-14
2.389892566231050126e-03 3.093612414788917242e+00 1.841399514013487555e-05 6.987082996402086056e-14
2.428764382460450386e-03 3.095442558726776650e+00 1.901806516099869410e-05 6.912587238608642754e-14
2.468268452255692556e-03 3.097231615662986215e+00 1.964168765006924516e-05 6.838283468988157034e-14
2.508415059277541159e-03 3.098976153650867982e+00 2.028608214688389146e-05 6.764270296626265501e-14
